,std,share_zero,spearman_vs_target,abs_spearman,vif
log_total_purchase_count^2 log_product_category_diversity,0.9999999999999998,0.0,-0.5137374142038201,0.5137374142038201,12045.963921099994
log_average_order_value log_days_since_first_purchase^2,0.9999999999999994,0.0,0.5025623028617503,0.5025623028617503,10204208.15853574
log_total_purchase_count log_product_category_diversity,0.9999999999999997,0.0,-0.48778363506564437,0.48778363506564437,71908.92728264192
log_total_purchase_count log_days_since_last_purchase^2,1.0,0.0,0.4813031443951844,0.4813031443951844,21405502.18585374
log_total_purchase_count log_days_since_first_purchase log_product_category_diversity,0.9999999999999994,0.0,-0.4802963498415196,0.4802963498415196,730339.9980941361
log_product_category_diversity^3,1.0000000000000007,0.0,0.435872647437819,0.435872647437819,565.3869447663502
log_product_category_diversity,0.9999999999999998,0.0,0.435872647437819,0.435872647437819,40604.630109446494
log_product_category_diversity^2,0.9999999999999996,0.0,-0.435872647437819,0.435872647437819,9344.236847423705
log_average_order_value log_days_since_last_purchase log_product_category_diversity,1.0000000000000004,0.0,0.4279695174676389,0.4279695174676389,217801.77857465128
log_days_since_first_purchase log_days_since_last_purchase^2,1.0000000000000002,0.0,-0.42426989054986686,0.42426989054986686,213565529.1019652
log_days_since_last_purchase loyalty,0.9999999999999994,0.0,-0.42087368362903466,0.42087368362903466,216343.35554341512
log_days_since_last_purchase loyalty^2,0.9999999999999994,0.0,-0.42087368362903466,0.42087368362903466,inf
log_days_since_last_purchase^2 loyalty,1.0000000000000013,0.0,-0.42087368362903466,0.42087368362903466,1329495.1825298434
log_days_since_first_purchase log_product_category_diversity^2,0.9999999999999997,0.0,-0.41772869665884677,0.41772869665884677,75060.2561729234
log_days_since_last_purchase log_product_category_diversity loyalty,0.9999999999999984,0.0,0.4145381905779901,0.4145381905779901,38352.97481559064
log_days_since_first_purchase log_product_category_diversity,1.0,0.0,0.391726436975602,0.391726436975602,692349.959052204
log_product_category_diversity loyalty^2,0.9999999999999939,0.0,0.38902807974835424,0.38902807974835424,inf
